Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Post-tax national income | individuals | Share | Adults | share of total (ratio);Post-tax national income | tax unit | Share | Adults | share of total (ratio);Fiscal income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Share | Adults | share of total (ratio);Net personal wealth | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
;GB;1990;p99p100;155253.87516;;1254406.48797;;;;;;0.0802;;0.098;;0.163473300934;0.098;;;
;GB;1990;p99.9p100;;;4497660.61412;;;;;;0.0221;;;;0.0586131715775;;;;
;GB;1990;p90p100;58457.8361192;;352869.837183;;;;;;0.3392;;0.369;;0.459857292175;0.369;;;
;GB;1990;p90p95;;;186868.097374;;;;;;;;0.1247;;0.121762542725;0.1247;;;
;GB;1990;p95p99;;;334987.849249;;;;;;;;0.1463;;0.174621448517;0.1463;;;
;GB;1990;p99.5p99.9;;;1170030.3527;;;;;;;;;;0.060990986824;;;;
;GB;1990;p99p99.5;;;673256.570948;;;;;;;;0.0308;;0.0438691425323;0.0308;;;
;GB;1990;p95p100;77405.1429706;;518871.576992;;;;;;0.2173;;0.2443;;0.338094749451;0.2443;;;
;GB;1990;p0p90;11107.1645686;;46052.9513078;13865.2445399;;;;;;;;;0.540142707825;;;;
;GB;1990;p99.5p100;212919.588193;;1835556.40498;;;;;;0.0541;;0.0672;;0.119604158401;0.0672;;;
;GB;1989;p0p100;;21862.9381793;81656.8546509;;;;7.16843358591e+11;;;;;;;;;;
;GB;1989;p99p100;;189551.859022;1354919.29577;;;;;;;0.0714;;0.0867;0.165928421021;;0.0867;;
;GB;1989;p99.9p100;;;4608283.83412;;;;;;;0.0181;;;0.0564347457886;;;;
;GB;1989;p90p100;;74661.9177505;396251.456162;;;;;;;0.3129;;0.3415;0.485264167786;;0.3415;;
;GB;1989;p90p95;;50896.9090844;215432.627173;;;;;;;;;0.1164;0.131913375854;;0.1164;;
;GB;1989;p95p99;;75645.7272118;382608.032494;;;;;;;;;0.1384;0.187422370911;;0.1384;;
;GB;1989;p99.5p99.9;;;1267169.96521;;;;;;;;;;0.0620729255676;;;;
;GB;1989;p99p99.5;;121120.795731;774445.852555;;;;;;;;;0.0277;0.0474207496643;;0.0277;;
;GB;1989;p95p100;;98426.9264166;577070.28515;;;;;;;;;0.2251;0.353350791931;;0.2251;;
;GB;1989;p0p90;;;46701.8989275;;;;;;;;;;0.514735832214;;;;
;GB;1989;p99.5p100;;257982.922314;1935392.73899;;;;;;;;;0.059;0.118507671356;;0.059;;
;GB;1988;p0p100;;20980.105093;78302.2959427;;;;6.81995674903e+11;;;;;;;;;;
;GB;1988;p99p100;;181058.47961;1190462.29417;;;;;;;0.0705;;0.0863;0.15203414917;;0.0863;;
;GB;1988;p99.9p100;;;3630817.78866;;;;;;;0.0183;;;0.0463692378998;;;;
;GB;1988;p90p100;;71772.9224059;377302.551009;;;;;;;0.3154;;0.3421;0.481853752136;;0.3421;;
;GB;1988;p90p95;;49680.8770117;213805.556519;;;;;;;;;0.1184;0.136525726318;;0.1184;;
;GB;1988;p95p99;;72066.6223296;378383.85833;;;;;;;;;0.1374;0.193293876648;;0.1374;;
;GB;1988;p99.5p99.9;;;1165096.84004;;;;;;;;;;0.0595178890228;;;;
;GB;1988;p99p99.5;;118747.508064;722683.558576;;;;;;;;;0.0283;0.0461470222473;;0.0283;;
;GB;1988;p95p100;;93864.9678001;540799.545498;;;;;;;;;0.2237;0.345328025818;;0.2237;;
;GB;1988;p0p90;;;45080.0453798;;;;;;;;;;0.518146247864;;;;
;GB;1988;p99.5p100;;243369.451156;1658241.02976;;;;;;;;;0.058;0.105887126923;;0.058;;
;GB;1987;p0p100;;20041.3952008;68332.9893824;;;;6.46320978151e+11;;;;;;;;;;
;GB;1987;p99p100;;155922.210106;1139333.94112;;;;;;;0.059;;0.0778;0.166732635498;;0.0778;;
;GB;1987;p99.9p100;;;3670644.03835;;;;;;;0.012;;;0.0537170124054;;;;
;GB;1987;p90p100;;66677.7088202;344116.857941;;;;;;;0.3029;;0.3327;0.503588180542;;0.3327;;
;GB;1987;p90p95;;47658.4284864;189434.17375;;;;;;;;;0.1189;0.138611068726;;0.1189;;
;GB;1987;p95p99;;68140.7100768;338665.942385;;;;;;;;;0.136;0.198244476318;;0.136;;
;GB;1987;p99.5p99.9;;;1104011.63712;;;;;;;;;;0.0646253967285;;;;
;GB;1987;p99p99.5;;109826.95519;661329.764871;;;;;;;;;0.0274;0.0483902263641;;0.0274;;
;GB;1987;p95p100;;85696.9891539;498799.542131;;;;;;;;;0.2138;0.364977111816;;0.2138;;
;GB;1987;p0p90;;;37690.3373204;;;;;;;;;;0.496411819458;;;;
;GB;1987;p99.5p100;;202017.465022;1617338.11737;;;;;;;;;0.0504;0.118342409134;;0.0504;;
;GB;1986;p0p100;;19464.9045376;57141.7900072;;;;6.22845471766e+11;;;;;;;;;;
;GB;1986;p99p100;;146960.170091;931455.383183;;;;;;;0.058;;0.0755;0.163007736206;;0.0755;;
;GB;1986;p99.9p100;;362051.887349;3017900.2375;;;;;;;0.0121;;0.0186;0.0528142404556;;0.0186;;
;GB;1986;p90p100;;64117.3805568;278989.08303;;;;;;;0.3003;;0.3294;0.488240013123;;0.3294;;
;GB;1986;p90p95;;46326.4619688;154747.781437;;;;;;;;;0.119;0.135406837463;;0.119;;
;GB;1986;p95p99;;65645.355642;271174.134981;;;;;;;;;0.1349;0.189825439453;;0.1349;;
;GB;1986;p99.5p99.9;;148906.218635;897717.808829;;;;;;;;;0.0306;0.0628414201736;;0.0306;;
;GB;1986;p99p99.5;;102385.495984;541156.471802;;;;;;;;;0.0263;0.0473520755768;;0.0263;;
;GB;1986;p95p100;;81908.2991449;403230.384622;;;;;;;0.184;;0.2104;0.352833175659;;0.2104;;
;GB;1986;p0p90;;;32492.0907825;;;;;;;;;;0.511759986877;;;;
;GB;1986;p99.5p100;;191534.844198;1321754.29456;;;;;;;0.0356;;0.0492;0.115655660629;;0.0492;;
;GB;1985;p0p100;;18540.2099583;53661.9517444;;;;5.88517075755e+11;;;;;;;;;;
;GB;1985;p99p100;;137197.683915;846918.078927;;;;;;;0.0579;;0.074;0.157824687958;;0.074;;
;GB;1985;p99.9p100;;337436.164078;2459434.56048;;;;;;;0.0118;;0.0182;0.0458319997787;;0.0182;;
;GB;1985;p90p100;;60533.7708088;261233.322198;;;;;;;0.2994;;0.3265;0.486812934875;;0.3265;;
;GB;1985;p90p95;;44125.6889816;144782.584033;;;;;;;;;0.119;0.134902458191;;0.119;;
;GB;1985;p95p99;;61877.9172632;260375.555723;;;;;;;;;0.1335;0.194085788727;;0.1335;;
;GB;1985;p99.5p99.9;;139514.796573;843142.861933;;;;;;;;;0.0301;0.0628484678268;;0.0301;;
;GB;1985;p99p99.5;;95296.7696385;527434.956211;;;;;;;;;0.0257;0.0491442203522;;0.0257;;
;GB;1985;p95p100;;76941.852636;377684.060364;;;;;;;0.1825;;0.2075;0.351910476685;;0.2075;;
;GB;1985;p0p90;;;30598.4661384;;;;;;;;;;0.513187065125;;;;
;GB;1985;p99.5p100;;179098.598192;1166401.20164;;;;;;;0.0354;;0.0483;0.108680467606;;0.0483;;
;GB;1984;p0p100;;17339.2617078;53513.7762942;;;;5.44730249635e+11;;;;;;;;;;
;GB;1984;p99p100;;124149.230072;814566.346432;;;;;;;0.0563;;0.0716;0.15221619606;;0.0716;;
;GB;1984;p99.9p100;;289569.393588;2393171.8655;;;;;;;0.011;;0.0167;0.0447206687927;;0.0167;;
;GB;1984;p90p100;;56387.2646518;249940.61345;;;;;;;0.2964;;0.3252;0.467058448792;;0.3252;;
;GB;1984;p90p95;;41094.039737;137833.004185;;;;;;;;;0.1185;0.128782730103;;0.1185;;
;GB;1984;p95p99;;58563.3239863;248918.691784;;;;;;;;;0.1351;0.186059522629;;0.1351;;
;GB;1984;p99.5p99.9;;126576.351757;833044.48534;;;;;;;;;0.0292;0.062267665863;;0.0292;;
;GB;1984;p99.9p99.95;;197681.907876;;;;;;;;;;0.0057;;;0.0057;;
;GB;1984;p99p99.5;;89123.8886271;484062.731493;;;;;;;;;0.0257;0.0452278614044;;0.0257;;
;GB;1984;p95p100;;71680.4895666;362048.222714;;;;;;;0.182;;0.2067;0.338275718689;;0.2067;;
;GB;1984;p0p90;;;31688.5721659;;;;;;;;;;0.532941551208;;;;
;GB;1984;p99.5p100;;159174.571517;1145069.96137;;;;;;;0.0343;;0.0459;0.106988334656;;0.0459;;
;GB;1984;p99.95p100;;381445.92597;;;;;;;;;;0.011;;;0.011;;
;GB;1983;p0p100;;17155.4617565;47322.9523496;;;;5.30961535887e+11;;;;;;;;;;
;GB;1983;p99p100;;117171.920223;826332.538497;;;;;;;0.0537;;0.0683;0.174615592957;;0.0683;;
;GB;1983;p99.9p100;;271059.796371;2602029.90822;;;;;;;0.0104;;0.0158;0.0549845218658;;0.0158;;
;GB;1983;p90p100;;54485.7357253;239756.453095;;;;;;;0.2904;;0.3176;0.506638832092;;0.3176;;
;GB;1983;p90p95;;40418.2598769;128893.01754;;;;;;;;;0.1178;0.136184463501;;0.1178;;
;GB;1983;p95p99;;56398.5525235;231691.726189;;;;;;;;;0.1315;0.195838775635;;0.1315;;
;GB;1983;p99.5p99.9;;119230.222345;839743.595189;;;;;;;;;0.0278;0.0709798145294;;0.0278;;
;GB;1983;p99.9p99.95;;185292.424229;;;;;;;;;;0.0054;;;0.0054;;
;GB;1983;p99p99.5;;84748.0652855;460464.219199;;;;;;;;;0.0247;0.0486512565613;;0.0247;;
;GB;1983;p95p100;;68553.2115738;350619.888651;;;;;;;0.1764;;0.1998;0.370454368591;;0.1998;;
;GB;1983;p0p90;;;25941.4522667;;;;;;;;;;0.493361167908;;;;
;GB;1983;p99.5p100;;149595.77516;1192200.8578;;;;;;;0.0324;;0.0436;0.125964336395;;0.0436;;
;GB;1983;p99.95p100;;356816.944723;;;;;;;;;;0.0104;;;0.0104;;
;GB;1982;p0p100;;17038.6790256;42357.4858907;;;;5.19407089343e+11;;;;;;;;;;
;GB;1982;p99p100;;116715.066985;728663.835297;;;;;;;0.0532;;0.0685;0.172027168274;;0.0685;;
;GB;1982;p99.9p100;;274326.274381;2288186.3087;;;;;;;0.0102;;0.0161;0.0540208244324;;0.0161;;
;GB;1982;p90p100;;53211.783894;216990.046344;;;;;;;0.2852;;0.3123;0.51228263855;;0.3123;;
;GB;1982;p90p95;;39461.5726861;119631.168542;;;;;;;;;0.1158;0.141216087341;;0.1158;;
;GB;1982;p95p99;;54523.7456658;210770.196358;;;;;;;;;0.128;0.199039382935;;0.128;;
;GB;1982;p99.5p99.9;;118844.549789;732903.276012;;;;;;;;;0.0279;0.0692112159729;;0.0279;;
;GB;1982;p99.9p99.95;;184031.078771;;;;;;;;;;0.0054;;;0.0054;;
;GB;1982;p99p99.5;;83489.6099599;413367.788046;;;;;;;;;0.0245;0.0487951278687;;0.0245;;
;GB;1982;p95p100;;66961.995102;314348.924146;;;;;;;0.1727;;0.1965;0.371066551208;;0.1965;;
;GB;1982;p0p90;;;22953.8680625;;;;;;;;;;0.48771736145;;;;
;GB;1982;p99.5p100;;149940.52401;1043959.88255;;;;;;;0.032;;0.044;0.123232040405;;0.044;;
;GB;1982;p99.95p100;;364610.706468;;;;;;;;;;0.0107;;;0.0107;;
;GB;1981;p0p100;;16901.9250161;39110.6950321;;;;5.07361967735e+11;;;;;;;;;;
;GB;1981;p99p100;;112735.951201;679963.462555;;;;;;;0.0519;;0.0667;0.173856143951;;0.0667;;
;GB;1981;p99.9p100;;258602.79094;1930527.72733;;;;;;;0.0099;;0.0153;0.0493606090546;;0.0153;;
;GB;1981;p90p100;;52446.6626024;207932.356869;;;;;;;0.2849;;0.3103;0.531650886536;;0.3103;;
;GB;1981;p90p95;;39144.8503343;115326.450509;;;;;;;;;0.1158;0.147435951233;;0.1158;;
;GB;1981;p95p99;;54001.6232923;205681.963397;;;;;;;;;0.1278;0.210358791351;;0.1278;;
;GB;1981;p99.5p99.9;;115777.955663;719677.970268;;;;;;;;;0.0274;0.0736042118073;;0.0274;;
;GB;1981;p99.9p99.95;;182554.027754;;;;;;;;;;0.0054;;;0.0054;;
;GB;1981;p99p99.5;;81129.3202044;398079.003428;;;;;;;;;0.024;0.0508913230896;;0.024;;
;GB;1981;p95p100;;65748.4748706;300538.263228;;;;;;;0.1717;;0.1945;0.384214935303;;0.1945;;
;GB;1981;p0p90;;;20352.7326059;;;;;;;;;;0.468349113464;;;;
;GB;1981;p99.5p100;;144342.582197;961847.921681;;;;;;;0.0313;;0.0427;0.122964820862;;0.0427;;
;GB;1981;p99.95p100;;334642.488831;;;;;;;;;;0.0099;;;0.0099;;
;GB;1980;p0p100;;17673.419861;43044.8758797;;;;5.24971277736e+11;;;;;;;;;;
;GB;1980;p99p100;;;807282.719439;;;;;;;;;;0.187544441223;;;;
;GB;1980;p99.9p100;;;2859380.64188;;;;;;;;;;0.066427898407;;;;
;GB;1980;p90p100;;;224276.785236;;;;;;;;;;0.521030158997;;;;
;GB;1980;p90p95;;;118435.60883;;;;;;;;;;0.137572250366;;;;
;GB;1980;p95p99;;;210826.772193;;;;;;;;;;0.195913467407;;;;
;GB;1980;p99.5p99.9;;;773646.418388;;;;;;;;;;0.071892080307;;;;
;GB;1980;p99p99.5;;;423772.175791;;;;;;;;;;0.0492244625092;;;;
;GB;1980;p95p100;;;330117.961642;;;;;;;;;;0.38345790863;;;;
;GB;1980;p0p90;;;22907.9970624;;;;;;;;;;0.478969841003;;;;
;GB;1980;p99.5p100;;;1190793.26309;;;;;;;;;;0.138319978714;;;;
;GB;1979;p0p100;;18687.4405028;40545.8082364;;;;5.49223862076e+11;;;;;;;;;;
;GB;1979;p99p100;;110816.625756;751146.346868;;;;;;;0.0471;;0.0593;0.185258693695;;0.0593;;
;GB;1979;p99.9p100;;242939.849669;2737244.97126;;;;;;;0.0086;;0.013;0.0675099372864;;0.013;;
;GB;1979;p99.99p100;;579214.530095;;;;;;;;;;0.0031;;;0.0031;;
;GB;1979;p90p100;;53016.2550578;219048.070103;;;;;;;0.2618;;0.2837;0.540248374939;;0.2837;;
;GB;1979;p90p95;;40364.8610944;117067.112291;;;;;;;;;0.108;0.144364013672;;0.108;;
;GB;1979;p95p99;;54380.4216567;213499.698176;;;;;;;;;0.1164;0.210625667572;;0.1164;;
;GB;1979;p99.5p99.9;;114927.523999;649916.795171;;;;;;;;;0.0246;0.0641167926788;;0.0246;;
;GB;1979;p99.95p99.99;;242932.60962;;;;;;;;;;0.0052;;;0.0052;;
;GB;1979;p99.9p99.95;;175674.670153;;;;;;;;;;0.0047;;;0.0047;;
;GB;1979;p99.9p99.99;;205568.572515;;;;;;;;;;0.0099;;;0.0099;;
;GB;1979;p99p99.5;;81103.5675857;434910.263346;;;;;;;;;0.0217;0.0536319637299;;0.0217;;
;GB;1979;p95p100;;65667.6490212;321029.027914;;;;;;;0.1561;;0.1757;0.395884361267;;0.1757;;
;GB;1979;p0p90;;;20712.2235845;;;;;;;;;;0.459751625061;;;;
;GB;1979;p99.5p100;;140529.683927;1067382.43039;;;;;;;0.0282;;0.0376;0.131626729965;;0.0376;;
;GB;1979;p99.95p100;;310197.010926;;;;;;;;;;0.0083;;;0.0083;;
;GB;1978;p0p100;;18278.9016746;36705.9812682;;;;5.31477334285e+11;;;;;;;;;;
;GB;1978;p99p100;;104555.417259;776505.467411;;;;;;;0.0421;;0.0572;0.211547393799;;0.0572;;
;GB;1978;p99.9p100;;226661.29887;2466279.9068;;;;;;;0.0069;;0.0124;0.0671901369095;;0.0124;;
;GB;1978;p99.99p100;;511724.331539;;;;;;;;;;0.0028;;;0.0028;;
;GB;1978;p90p100;;50778.7767299;215981.228855;;;;;;;0.2522;;0.2778;0.588408813477;;0.2778;;
;GB;1978;p90p95;;39007.1668617;113662.689972;;;;;;;;;0.1067;0.154828567505;;0.1067;;
;GB;1978;p95p99;;52049.1445812;203748.342819;;;;;;;;;0.1139;0.222032852173;;0.1139;;
;GB;1978;p99.5p99.9;;107845.301292;794331.843278;;;;;;;;;0.0236;0.0865615701675;;0.0236;;
;GB;1978;p99.95p99.99;;233052.05124;;;;;;;;;;0.0051;;;0.0051;;
;GB;1978;p99.9p99.95;;164522.039455;;;;;;;;;;0.0045;;;0.0045;;
;GB;1978;p99.9p99.99;;194981.335375;;;;;;;;;;0.0096;;;0.0096;;
;GB;1978;p99p99.5;;77502.6169889;424289.478838;;;;;;;;;0.0212;0.0577956867218;;0.0212;;
;GB;1978;p95p100;;62550.3865982;318299.767738;;;;;;;0.148;;0.1711;0.433580245972;;0.1711;;
;GB;1978;p0p90;;;16786.5093141;;;;;;;;;;0.411591186523;;;;
;GB;1978;p99.5p100;;131608.217528;1128721.45598;;;;;;;0.0244;;0.036;0.153751707077;;0.036;;
;GB;1978;p99.95p100;;288793.151055;;;;;;;;;;0.0079;;;0.0079;;
;GB;1977;p0p100;;17886.0123837;32603.2898221;;;;5.16762676692e+11;;;;;;;;;;
;GB;1977;p99p100;;106064.156908;672544.215501;;;;;;;0.0424;;0.0593;0.206281089783;;0.0593;;
;GB;1977;p99.9p100;;227155.286779;2157853.16575;;;;;;;0.0066;;0.0127;0.0661851358414;;0.0127;;
;GB;1977;p99.99p100;;500725.267689;;;;;;;;;;0.0028;;;0.0028;;
;GB;1977;p90p100;;50009.2797963;188008.789068;;;;;;;0.2515;;0.2796;0.576655883789;;0.2796;;
;GB;1977;p90p95;;38025.654094;96342.0100184;;;;;;;;;0.1063;0.147748908997;;0.1063;;
;GB;1977;p95p99;;50975.1090641;181458.406272;;;;;;;;;0.114;0.22262588501;;0.114;;
;GB;1977;p99.5p99.9;;110893.054475;655511.552718;;;;;;;;;0.0248;0.0804227495193;;0.0248;;
;GB;1977;p99.95p99.99;;241457.085147;;;;;;;;;;0.0054;;;0.0054;;
;GB;1977;p99.9p99.95;;160985.783105;;;;;;;;;;0.0045;;;0.0045;;
;GB;1977;p99.9p99.99;;196752.582761;;;;;;;;;;0.0099;;;0.0099;;
;GB;1977;p99p99.5;;77983.0900703;389108.555677;;;;;;;;;0.0218;0.059673204422;;0.0218;;
;GB;1977;p95p100;;61992.9054985;279675.568118;;;;;;;0.1477;;0.1733;0.428906974792;;0.1733;;
;GB;1977;p0p90;;;15336.0121281;;;;;;;;;;0.423344116211;;;;
;GB;1977;p99.5p100;;134145.223745;955979.875325;;;;;;;0.0245;;0.0375;0.146607885361;;0.0375;;
;GB;1977;p99.95p100;;293316.902802;;;;;;;;;;0.0082;;;0.0082;;
;GB;1976;p0p100;;18686.6464389;35448.0095002;;;;5.33485054307e+11;;;;;;;;;;
;GB;1976;p99p100;;110064.450014;818180.150307;;;;;;;0.0417;;0.0589;0.230811309814;;0.0589;;
;GB;1976;p99.9p100;;242929.525861;2908219.0982;;;;;;;0.0065;;0.013;0.0820418167114;;0.013;;
;GB;1976;p99.99p100;;560506.370502;;;;;;;;;;0.003;;;0.003;;
;GB;1976;p90p100;;52117.0433198;216062.030199;;;;;;;0.2496;;0.2789;0.609518089294;;0.2789;;
;GB;1976;p90p95;;39466.1869815;106680.275069;;;;;;;;;0.1056;0.150474281311;;0.1056;;
;GB;1976;p95p99;;53443.7789433;202259.694084;;;;;;;;;0.1144;0.228232498169;;0.1144;;
;GB;1976;p99.5p99.9;;114455.474912;761991.774729;;;;;;;;;0.0245;0.0859841537476;;0.0245;;
;GB;1976;p99.95p99.99;;261608.615821;;;;;;;;;;0.0056;;;0.0056;;
;GB;1976;p99.9p99.95;;164454.404494;;;;;;;;;;0.0044;;;0.0044;;
;GB;1976;p99.9p99.99;;207636.198799;;;;;;;;;;0.01;;;0.01;;
;GB;1976;p99p99.5;;79978.9212329;445123.06119;;;;;;;;;0.0214;0.0627853393555;;0.0214;;
;GB;1976;p95p100;;64767.8996581;325443.785329;;;;;;;0.1468;;0.1733;0.459043807983;;0.1733;;
;GB;1976;p0p90;;;15379.7849782;;;;;;;;;;0.390481910706;;;;
;GB;1976;p99.5p100;;140149.978796;1191237.23942;;;;;;;0.0239;;0.0375;0.168025970459;;0.0375;;
;GB;1976;p99.95p100;;321395.292702;;;;;;;;;;0.0086;;;0.0086;;
;GB;1975;p0p100;;18900.3766667;38397.6758832;;;;5.35655595875e+11;;;;;;;;;;
;GB;1975;p99p100;;115292.407025;849600.284771;;;;;;;0.0423;;0.061;0.221263465881;;0.061;;
;GB;1975;p99.9p100;;264608.678704;2729416.58224;;;;;;;0.0066;;0.014;0.0710828590393;;0.014;;
;GB;1975;p99.99p100;;585814.463992;;;;;;;;;;0.0031;;;0.0031;;
;GB;1975;p90p100;;52580.8350799;225221.197017;;;;;;;0.2481;;0.2782;0.586549034119;;0.2782;;
;GB;1975;p90p95;;39388.3753798;112443.125735;;;;;;;;;0.1042;0.146419181824;;0.1042;;
;GB;1975;p95p99;;53393.5351661;210099.014181;;;;;;;;;0.113;0.218866386414;;0.113;;
;GB;1975;p99.5p99.9;;119072.131081;863518.717225;;;;;;;;;0.0252;0.0899553108215;;0.0252;;
;GB;1975;p99.95p99.99;;283500.849519;;;;;;;;;;0.006;;;0.006;;
;GB;1975;p99.9p99.95;;185237.116227;;;;;;;;;;0.0049;;;0.0049;;
;GB;1975;p99.9p99.99;;228912.0559;;;;;;;;;;0.0109;;;0.0109;;
;GB;1975;p99p99.5;;82405.7204309;462502.279313;;;;;;;;;0.0218;0.0602252960205;;0.0218;;
;GB;1975;p95p100;;65773.29478;337999.268299;;;;;;;0.1464;;0.174;0.440129852295;;0.174;;
;GB;1975;p0p90;;;17639.5068684;;;;;;;;;;0.413450965881;;;;
;GB;1975;p99.5p100;;148179.093619;1236698.29023;;;;;;;0.0245;;0.0392;0.161038169861;;0.0392;;
;GB;1975;p99.95p100;;343970.779795;;;;;;;;;;0.0091;;;0.0091;;
;GB;1974;p0p100;;18997.6172266;40716.9237864;;;;5.37138622642e+11;;;;;;;;;;
;GB;1974;p99p100;;124244.536459;963657.368452;;;;;;;0.0435;;0.0654;0.236672439575;;0.0654;;
;GB;1974;p99.9p100;;300166.219863;3373244.08067;;;;;;;0.0069;;0.0158;0.0828462409973;;0.0158;;
;GB;1974;p99.99p100;;702795.223419;;;;;;;;;;0.0037;;;0.0037;;
;GB;1974;p90p100;;53383.2922415;248540.843863;;;;;;;0.2478;;0.281;0.610411643982;;0.281;;
;GB;1974;p90p95;;39249.0682459;118968.829752;;;;;;;;;0.1033;0.146092605591;;0.1033;;
;GB;1974;p95p99;;53335.7823139;231726.730355;;;;;;;;;0.1123;0.227646598816;;0.1123;;
;GB;1974;p99.5p99.9;;128708.59723;910254.343561;;;;;;;;;0.0271;0.0894227027893;;0.0271;;
;GB;1974;p99.95p99.99;;308706.057494;;;;;;;;;;0.0065;;;0.0065;;
;GB;1974;p99.9p99.95;;212788.737947;;;;;;;;;;0.0056;;;0.0056;;
;GB;1974;p99.9p99.99;;255420.775266;;;;;;;;;;0.0121;;;0.0121;;
;GB;1974;p99p99.5;;85489.3599492;524462.44592;;;;;;;;;0.0225;0.0644034957886;;0.0225;;
;GB;1974;p95p100;;67517.5162371;378112.857975;;;;;;;0.1471;;0.1777;0.464319038391;;0.1777;;
;GB;1974;p0p90;;;17625.3771112;;;;;;;;;;0.389588356018;;;;
;GB;1974;p99.5p100;;162999.71297;1402852.29098;;;;;;;0.0253;;0.0429;0.172268943787;;0.0429;;
;GB;1974;p99.95p100;;387533.286058;;;;;;;;;;0.0102;;;0.0102;;
;GB;1973;p0p100;;17647.376715;49207.1673102;;;;4.96297157543e+11;;;;;;;;;;
;GB;1973;p99p100;;123355.280125;1312146.14033;;;;;;;0.0489;;0.0699;0.266657524109;;0.0699;;
;GB;1973;p99.9p100;;296479.74406;5886702.84572;;;;;;;0.0081;;0.0168;0.119631004333;;0.0168;;
;GB;1973;p99.99p100;;705777.947968;;;;;;;;;;0.004;;;0.004;;
;GB;1973;p90p100;;49959.7112637;311989.140848;;;;;;;0.2528;;0.2831;0.634031906128;;0.2831;;
;GB;1973;p90p95;;35753.5764819;144062.99991;;;;;;;;;0.1013;0.146384162903;;0.1013;;
;GB;1973;p95p99;;49368.5095753;271857.567149;;;;;;;;;0.1119;0.220990219116;;0.1119;;
;GB;1973;p99.5p99.9;;128384.404639;1058060.43514;;;;;;;;;0.0291;0.086008644104;;0.0291;;
;GB;1973;p99.95p99.99;;300000.324001;;;;;;;;;;0.0068;;;0.0068;;
;GB;1973;p99.9p99.95;;211783.869222;;;;;;;;;;0.006;;;0.006;;
;GB;1973;p99.9p99.99;;250993.129969;;;;;;;;;;0.0128;;;0.0128;;
;GB;1973;p99p99.5;;84707.4884979;600503.363415;;;;;;;;;0.024;0.0610178756714;;0.024;;
;GB;1973;p95p100;;64165.8460455;479915.281786;;;;;;;0.1532;;0.1818;0.487647743225;;0.1818;;
;GB;1973;p0p90;;;20009.1702504;;;;;;;;;;0.365968093872;;;;
;GB;1973;p99.5p100;;162003.071752;2023788.91725;;;;;;;0.0291;;0.0459;0.205639648437;;0.0459;;
;GB;1973;p99.95p100;;381165.522835;;;;;;;;;;0.0108;;;0.0108;;
;GB;1972;p0p100;;16534.6992921;46717.0830747;;;;4.68775253343e+11;;;;;;;;;;
;GB;1972;p99p100;;114750.923676;1324540.7943;;;;;;;0.0486;;0.0694;0.283523864746;;0.0694;;
;GB;1972;p99.9p100;;266212.088656;5384894.80774;;;;;;;0.008;;0.0161;0.115266075134;;0.0161;;
;GB;1972;p99.99p100;;611682.377797;;;;;;;;;;0.0037;;;0.0037;;
;GB;1972;p90p100;;47785.270042;308275.649319;;;;;;;0.2568;;0.289;0.6598777771;;0.289;;
;GB;1972;p90p95;;34458.3054559;129570.61689;;;;;;;;;0.1042;0.138675842285;;0.1042;;
;GB;1972;p95p99;;47702.5823479;277590.65361;;;;;;;;;0.1154;0.237678070068;;0.1154;;
;GB;1972;p99.5p99.9;;120289.694786;1144016.43601;;;;;;;;;0.0291;0.0979527282715;;0.0291;;
;GB;1972;p99.95p99.99;;276951.527771;;;;;;;;;;0.0067;;;0.0067;;
;GB;1972;p99.9p99.95;;188509.236834;;;;;;;;;;0.0057;;;0.0057;;
;GB;1972;p99.9p99.99;;227818.874193;;;;;;;;;;0.0124;;;0.0124;;
;GB;1972;p99p99.5;;80028.0216995;656889.478241;;;;;;;;;0.0242;0.0703050613403;;0.0242;;
;GB;1972;p95p100;;61112.2346281;486980.681748;;;;;;;0.1547;;0.1848;0.521201934814;;0.1848;;
;GB;1972;p0p90;;;17655.0201586;;;;;;;;;;0.3401222229;;;;
;GB;1972;p99.5p100;;149473.825654;1992192.11036;;;;;;;0.0288;;0.0452;0.213218803406;;0.0452;;
;GB;1972;p99.95p100;;343905.678009;;;;;;;;;;0.0104;;;0.0104;;
;GB;1971;p0p100;;15735.7932764;40131.3068786;;;;4.44378806265e+11;;;;;;;;;;
;GB;1971;p99p100;;110465.375091;1072608.16354;;;;;;;0.05;;0.0702;0.267274665833;;0.0702;;
