Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;BR;2008;p99.9p100;3355562.699;6009211.87605;3.72327876091;3.69204306602;1627611.5;0.1191799125;0.1572694303;901238.625
;BR;2008;p99.99p100;18222336.7321;32238766.6251;3.94081258774;3.70096182823;8710916.0;0.0647204873;0.0843733354;4624005.0
;BR;2008;p99.999p100;102755839.179;173083431.102;4.06618452072;3.70262885094;46746092.0;0.0364959115;0.0452983399;25270824.0
;BR;2008;p0p10;165.998491095;809.290276531;;;0.0;0.0005895788;0.0021180252;0.0
;BR;2008;p10p20;4326.33000656;5795.43193736;;;3077.30712891;0.0153658768;0.015167451;1944.28967285
;BR;2008;p20p30;7702.31154232;9868.51242788;;;7614.24951172;0.0273563899;0.0258272688;5810.43505859
;BR;2008;p30p40;9912.68290654;12635.5040923;;;11869.0244141;0.0352069917;0.0330688707;9310.15625
;BR;2008;p40p50;12053.9454832;15393.8894872;;;13638.4443359;0.042812139;0.0402879487;10600.1181641
;BR;2008;p50p60;15190.909027;19276.8955174;;;17151.2910156;0.0539537291;0.0504503152;13460.4667969
;BR;2008;p60p70;19193.2438068;24469.9168801;;;21566.7851562;0.0681688683;0.064041174;17012.5351562
;BR;2008;p70p80;25170.3749134;31940.052585;;;27840.125;0.0893979147;0.0835915576;21705.0039062
;BR;2008;p80p90;37208.7794595;46873.7931618;;;37148.2265625;0.1321548568;0.1226752326;29164.3457031
;BR;2008;p90p100;150629.809865;215033.346174;3.12293958664;3.55238676071;60532.0742188;0.534993664;0.5627721585;48233.3398438
;BR;2008;p0p1;9.0746995524;54.9033552613;;;0.0;3.2231e-06;1.4369e-05;0.0
;BR;2008;p1p2;27.2240980171;164.710062309;;;109.80670929;9.6692e-06;4.31069e-05;18.1493988037
;BR;2008;p2p3;45.3734984023;274.516779781;;;219.613418579;1.61154e-05;7.18449e-05;36.2987976074
;BR;2008;p3p4;63.522893666;384.323497254;;;329.420135498;2.25615e-05;0.0001005828;54.4481964111
;BR;2008;p4p5;81.6722940512;494.130214727;;;439.226837158;2.90076e-05;0.0001293207;72.5975952148
;BR;2008;p5p6;99.8216944364;603.936904399;;;549.033569336;3.54538e-05;0.0001580587;90.7469940186
;BR;2008;p6p7;117.9710897;713.743649673;;;658.840270996;4.18999e-05;0.0001867966;108.896392822
;BR;2008;p7p8;136.120495207;972.840110778;;;768.646972656;4.83461e-05;0.0002546058;127.045791626
;BR;2008;p8p9;154.269890471;1783.69503718;;;1352.49108887;5.47922e-05;0.0004668178;145.19519043
;BR;2008;p9p10;924.934257444;2646.10315394;;;2214.89916992;0.00032851;0.000692522;163.344589233
;BR;2008;p10p11;2257.02859159;3424.0153395;;;3077.30712891;0.0008016315;0.0008961124;1944.28967285
;BR;2008;p11p12;2870.33704956;4104.57065261;;;3768.62768555;0.001019461;0.0010742232;2567.87280273
;BR;2008;p12p13;3446.26732138;4747.18512712;;;4434.10058594;0.0012240148;0.0012424043;3166.47998047
;BR;2008;p13p14;3963.86983131;5331.43445275;;;5050.43359375;0.0014078523;0.0013953105;3716.22241211
;BR;2008;p14p15;4408.88057814;5843.41803501;;;5600.26171875;0.0015659073;0.0015293037;4199.28564453
;BR;2008;p15p16;4775.03156944;6277.03340171;;;6073.35986328;0.0016959535;0.0016427869;4605.17480469
;BR;2008;p16p17;5065.50744227;6635.40496169;;;6467.98632812;0.0017991222;0.0017365777;4932.09130859
;BR;2008;p17p18;5294.57875328;6932.48713252;;;6792.39794922;0.0018804817;0.0018143283;5188.47412109
;BR;2008;p18p19;5489.44832088;7194.88053662;;;7066.55029297;0.0019496938;0.0018830003;5394.73291016
;BR;2008;p19p20;5692.35060776;7463.88973406;;;7324.02978516;0.0020217588;0.0019534037;5585.21289062
;BR;2008;p20p21;5958.16291529;7793.34494378;;;7614.24951172;0.0021161677;0.0020396267;5810.43505859
;BR;2008;p21p22;6306.44408074;8204.1041746;;;7986.67822266;0.0022398671;0.0021471281;6120.35449219
;BR;2008;p22p23;6711.80747279;8674.19603569;;;8431.40429688;0.0023838405;0.0022701577;6502.01806641
;BR;2008;p23p24;7146.22264761;9178.33256555;;;8922.640625;0.0025381322;0.0024020972;6926.39794922
;BR;2008;p24p25;7584.13187668;9692.53979811;;;9435.671875;0.002693665;0.0025366724;7366.57568359
;BR;2008;p25p26;8003.24466719;10194.7146761;;;9947.36132812;0.0028425218;0.0026680985;7798.48535156
;BR;2008;p26p27;8385.46011373;10665.2540251;;;10436.7412109;0.0029782737;0.0027912452;8201.76757812
;BR;2008;p27p28;8717.91052569;11087.7965119;;;10885.7001953;0.0030963505;0.0029018305;8560.75097656
;BR;2008;p28p29;8994.15976337;11450.0544556;;;11279.7617188;0.0031944662;0.0029966384;8865.57226562
;BR;2008;p29p30;9215.57136014;11744.7870924;;;11608.9912109;0.0032731052;0.003073774;9113.45117188
;BR;2008;p30p31;9392.1784305;11971.4321709;;;11869.0244141;0.003335831;0.0031330902;9310.15625
;BR;2008;p31p32;9535.72506111;12141.3761684;;;12064.2871094;0.0033868146;0.0031775669;9468.76855469
;BR;2008;p32p33;9654.19054433;12273.7987917;;;12212.2275391;0.0034288901;0.0032122238;9598.49414062
;BR;2008;p33p34;9755.46436287;12387.6110767;;;12332.2919922;0.0034648597;0.00324201;9707.01464844
;BR;2008;p34p35;9847.84374839;12500.3424514;;;12442.7832031;0.0034976702;0.0032715134;9802.42480469
;BR;2008;p35p36;9940.01991499;12627.5989466;;;12560.3662109;0.0035304085;0.0033048182;9893.22265625
;BR;2008;p36p37;10041.0498708;12782.4164284;;;12699.4804688;0.0035662914;0.0033453361;9988.28710938
;BR;2008;p37p38;10160.3242965;12974.4892827;;;12871.6318359;0.0036086543;0.0033956042;10096.8486328
;BR;2008;p38p39;10307.5170677;13209.2443016;;;13084.5498047;0.0036609329;0.0034570429;10228.4492188
;BR;2008;p39p40;10492.5157682;13486.7313048;;;13341.171875;0.0037266391;0.0035296651;10392.8828125
;BR;2008;p40p41;10724.2010644;13800.5849321;;;13638.4443359;0.003808927;0.0036118049;10600.1181641
;BR;2008;p41p42;10999.1241348;14140.5654496;;;13967.0517578;0.0039065718;0.0037007825;10855.6669922
;BR;2008;p42p43;11302.0658492;14497.1021311;;;14316.8242188;0.0040141679;0.0037940932;11147.2285156
;BR;2008;p43p44;11618.0647067;14861.6366586;;;14678.6914062;0.0041264016;0.0038894969;11459.0449219
;BR;2008;p44p45;11934.2156506;15226.9149236;;;15044.6757812;0.0042386893;0.0039850953;11777.0634766
;BR;2008;p45p46;12240.4508225;15587.4709898;;;15408.3271484;0.0043474552;0.0040794578;12089.6513672
;BR;2008;p46p47;12530.5097688;15940.223151;;;15765.2626953;0.0044504758;0.004171778;12388.4707031
;BR;2008;p47p48;12803.1036882;16285.1909794;;;16113.8193359;0.0045472933;0.0042620609;12669.5322266
;BR;2008;p48p49;13063.3274755;16626.3760667;;;16455.8476562;0.0046397173;0.0043513537;12934.4785156
;BR;2008;p49p50;13324.3916714;16972.8295906;;;16797.6777344;0.0047324398;0.0044420254;13192.1484375
;BR;2008;p50p51;13607.7339048;17338.6754446;;;17151.2910156;0.0048330748;0.0045377724;13460.4667969
;BR;2008;p51p52;13923.7445621;17730.7905309;;;17530.6230469;0.0049453126;0.0046403944;13760.734375
;BR;2008;p52p53;14265.4840451;18144.8921319;;;17934.6191406;0.0050666886;0.0047487705;14091.0371094
;BR;2008;p53p54;14624.6125118;18575.8096712;;;18357.9609375;0.0051942407;0.0048615476;14442.8183594
;BR;2008;p54p55;14993.4522204;19018.8280672;;;18795.6640625;0.0053252419;0.0049774917;14808.0058594
;BR;2008;p55p56;15365.4319891;19469.9599623;;;19243.3261719;0.0054573584;0.0050955592;15179.3945312
;BR;2008;p56p57;15735.6365422;19926.322929;;;19697.4394531;0.0055888444;0.0052149957;15551.1347656
;BR;2008;p57p58;16101.5184323;20386.6109788;;;20155.8261719;0.0057187951;0.0053354595;15919.3632812
;BR;2008;p58p59;16463.8079365;20851.6906192;;;20618.1484375;0.0058474699;0.0054571773;16283.0019531
;BR;2008;p59p60;16827.6681262;21325.3748387;;;21086.6035156;0.0059767026;0.005581147;16644.7792969
;BR;2008;p60p61;17203.271747;21814.9675657;;;21566.7851562;0.0061101061;0.0057092803;17012.5351562
;BR;2008;p61p62;17597.4338435;22327.2585179;;;22066.9941406;0.0062501011;0.0058433539;17397.2246094
;BR;2008;p62p63;18009.8882646;22865.8382744;;;22591.9121094;0.0063965931;0.0059843077;17800.6894531
;BR;2008;p63p64;18439.8326233;23433.5590148;;;23144.6328125;0.0065492969;0.0061328881;18221.9980469
;BR;2008;p64p65;18886.8080382;24032.6092486;;;23727.7246094;0.0067080497;0.0062896679;18660.4960938
;BR;2008;p65p66;19350.8971079;24664.1615188;;;24342.9355469;0.0068728807;0.0064549539;19115.9589844
;BR;2008;p66p67;19832.9664627;25327.9026728;;;24990.7871094;0.0070440979;0.0066286642;19588.8125
;BR;2008;p67p68;20335.0194479;26021.4128952;;;25670.0292969;0.0072224126;0.0068101655;20080.4238281
;BR;2008;p68p69;20860.6510716;26739.311655;;;26376.9257812;0.0074091018;0.0069980496;20593.5078125
;BR;2008;p69p70;21415.6694615;27472.1474376;;;27104.2773438;0.0076062283;0.0071898429;21132.6425781
;BR;2008;p70p71;22008.0788207;28206.3390285;;;27840.125;0.0078166351;0.007381991;21705.0039062
;BR;2008;p71p72;22639.8457839;28938.3172;;;28571.9414062;0.0080410205;0.0075735599;22317.84375
;BR;2008;p72p73;23304.880339;29679.140153;;;29306.1367188;0.0082772216;0.0077674435;22967.3886719
;BR;2008;p73p74;23996.566727;30442.9371189;;;30055.9414062;0.0085228886;0.0079673398;23646.7988281
;BR;2008;p74p75;24709.2961059;31245.6041503;;;30836.3828125;0.0087760296;0.0081774089;24349.8085938
;BR;2008;p75p76;25439.6307983;32104.6350898;;;31664.2011719;0.0090354234;0.0084022293;25071.6542969
;BR;2008;p76p77;26188.1057288;33038.6803095;;;32557.5644531;0.0093012601;0.0086466819;25810.5214844
;BR;2008;p77p78;26961.9869569;34066.7033339;;;33535.4765625;0.0095761204;0.0089157298;26569.7480469
;BR;2008;p78p79;27779.4383205;35206.4399871;;;34616.609375;0.0098664556;0.0092140147;27361.2050781
;BR;2008;p79p80;28675.9195535;36471.7294785;;;35817.3242188;0.0101848599;0.0095451586;28210.4042969
;BR;2008;p80p81;29709.3126473;37868.962968;;;37148.2265625;0.0105518913;0.009910834;29164.3457031
;BR;2008;p81p82;30919.8497027;39402.1438267;;;38612.25;0.0109818392;0.0103120888;30284.4707031
;BR;2008;p82p83;32309.7464614;41080.0474444;;;40216.1367188;0.0114754904;0.0107512195;31585.1699219
;BR;2008;p83p84;33874.6527276;42913.5772248;;;41969.859375;0.0120313;0.0112310797;33063.5390625
;BR;2008;p84p85;35607.4545282;44916.3126032;;;43885.421875;0.0126467412;0.0117552234;34713.78125
;BR;2008;p85p86;37499.2967628;47106.5480964;;;45978.3203125;0.0133186691;0.0123284385;36527.6210938
;BR;2008;p86p87;39542.7167084;49511.0226655;;;48270.2382812;0.0140444329;0.0129577229;38496.1054688
;BR;2008;p87p88;41739.3191389;52172.0332618;;;50794.109375;0.0148246028;0.0136541463;40614.4648438
;BR;2008;p88p89;44117.0695992;55161.1103428;;;53603.7578125;0.0156691112;0.0144364294;42893.390625
;BR;2008;p89p90;46768.3763188;58606.173184;;;56792.7226562;0.0166107789;0.0153380502;45384.078125
;BR;2008;p90p91;49917.0842771;62736.6914647;;;60532.0742188;0.0177291092;0.0164190643;48233.3398438
;BR;2008;p91p92;53853.306175;67851.5123976;;;65104.7851562;0.0191271417;0.017757684;51732.5117188
;BR;2008;p92p93;58866.5516122;74300.4701312;;;70817.7734375;0.0209077019;0.0194454659;56151.3125
;BR;2008;p93p94;65379.3114021;82604.6363451;;;78087.4375;0.0232208464;0.0216187816;61827.7382812
;BR;2008;p94p95;74067.2687708;93600.4558482;;;87561.09375;0.0263065584;0.0244965404;69285.9765625
;BR;2008;p95p96;86091.6034881;108736.209561;;;100309.929688;0.0305772554;0.0284577776;79389.0390625
;BR;2008;p96p97;103669.96622;130817.602371;;;118269.648438;0.036820583;0.034236785;93681.3515625
;BR;2008;p97p98;131845.684047;166414.696658;;;145444.796875;0.0468277857;0.0435530394;115298.984375
;BR;2008;p98p99;187220.494172;238799.121301;;;192376.375;0.0664953217;0.0624970496;152180.515625
;BR;2008;p1p100;28439.745225;38595.0647813;1566.97998047;351.481842041;109.80670929;0.9999967769;0.999985631;18.1493988037
;BR;2008;p2p100;28729.66891;38987.211258;791.477172852;177.526550293;219.613418579;0.9999871077;0.9999425241;36.2987976074
;BR;2008;p3p100;29025.3832956;39386.311201;533.082519531;119.562545776;329.420135498;0.9999709924;0.9998706793;54.4481964111
;BR;2008;p4p100;29327.0693415;39792.5819063;403.967498779;90.5968856812;439.226837158;0.9999484309;0.9997700965;72.5975952148
;BR;2008;p5p100;29634.9156262;40206.2498189;326.566375732;73.2309494019;549.033569336;0.9999194232;0.9996407757;90.7469940186
;BR;2008;p6p100;29949.1187531;40627.55102;275.023986816;61.6652526855;658.840270996;0.9998839694;0.999482717;108.896392822
;BR;2008;p7p100;30269.8837817;41056.7317445;238.259628296;53.4142875671;768.646972656;0.9998420695;0.9992959204;127.045791626
;BR;2008;p8p100;30597.4246871;41492.4262184;210.733047485;30.6785202026;1352.49108887;0.9997937234;0.9990413146;145.19519043
;BR;2008;p9p100;30931.9648497;41928.7859013;189.366333008;18.9303359985;2214.89916992;0.9997389312;0.9985744968;163.344589233
;BR;2008;p10p100;31265.3763003;42365.2601543;16.0806159973;13.7669916153;3077.30712891;0.9994104212;0.9978819748;1944.28967285
;BR;2008;p11p100;31591.3127909;42802.8022307;12.3025226593;11.3576631546;3768.62768555;0.9986087897;0.9969858624;2567.87280273
;BR;2008;p12p100;31917.687516;43242.554863;10.0798635483;9.75227165222;4434.10058594;0.9975893288;0.9959116392;3166.47998047
;BR;2008;p13p100;32244.9452185;43685.0303787;8.67680740356;8.64975833893;5050.43359375;0.996365314;0.9946692349;3716.22241211
;BR;2008;p14p100;32573.7949326;44131.0024221;7.75698471069;7.88016796112;5600.26171875;0.9949574617;0.9932739244;4199.28564453
;BR;2008;p15p100;32905.1468677;44581.4445902;7.14525461197;7.34049129486;6073.35986328;0.9933915545;0.9917446206;4605.17480469
;BR;2008;p16p100;33240.0291939;45037.4494845;6.73954057693;6.96313285828;6467.98632812;0.991695601;0.9901018337;4932.09130859
;BR;2008;p17p100;33579.4812637;45500.1247211;6.4719376564;6.69868373871;6792.39794922;0.9898964788;0.988365256;5188.47412109
;BR;2008;p18p100;33924.419101;45970.4617648;6.28843355179;6.50536108017;7066.55029297;0.9880159971;0.9865509278;5394.73291016
;BR;2008;p19p100;34275.4681245;46449.1726462;6.13682413101;6.34202384949;7324.02978516;0.9860663034;0.9846679276;5585.21289062
;BR;2008;p20p100;34632.7570902;46936.488682;5.96044111252;6.16429615021;7614.24951172;0.9840445445;0.9827145238;5810.43505859
;BR;2008;p21p100;34995.726635;47431.9715164;5.71792459488;5.93888616562;7986.67822266;0.9819283767;0.9806748972;6120.35449219
;BR;2008;p22p100;35363.5379477;47934.8928971;5.43885564804;5.68527984619;8431.40429688;0.9796885096;0.9785277692;6502.01806641
;BR;2008;p23p100;35735.6383427;48444.7720727;5.15933942795;5.42942094803;8922.640625;0.977304669;0.9762576114;6926.39794922
;BR;2008;p24p100;36111.8148619;48961.4357528;4.90211677551;5.18897199631;9435.671875;0.9747665367;0.9738555142;7366.57568359
;BR;2008;p25p100;36492.183971;49485.0210294;4.67939376831;4.97468805313;9947.36132812;0.9720728718;0.9713188418;7798.48535156
;BR;2008;p26p100;36877.1696362;50015.9711196;4.49624681473;4.79229784012;10436.7412109;0.96923035;0.9686507433;8201.76757812
;BR;2008;p27p100;37267.4670292;50555.0220339;4.35329437256;4.64416837692;10885.7001953;0.9662520764;0.965859498;8560.75097656
;BR;2008;p28p100;37663.988651;51103.1779476;4.24834251404;4.53051948547;11279.7617188;0.963155726;0.9629576676;8865.57226562
;BR;2008;p29p100;38067.7890603;51661.6726453;4.17709922791;4.45014333725;11608.9912109;0.9599612598;0.9599610292;9113.45117188
;BR;2008;p30p100;38479.9635945;52231.9138677;4.13311672211;4.40069150925;11869.0244141;0.9566881545;0.9568872551;9310.15625
;BR;2008;p31p100;38901.5256997;52815.3991134;4.10840368271;4.37783002853;12064.2871094;0.9533523235;0.953754165;9468.76855469
;BR;2008;p32p100;39333.3757109;53413.5465044;4.09786939621;4.37377595901;12212.2275391;0.949965509;0.950576598;9598.49414062
;BR;2008;p33p100;39776.3486235;54027.5725882;4.09769105911;4.3809838295;12332.2919922;0.9465366188;0.9473643742;9707.01464844
;BR;2008;p34p100;40231.2105102;54658.4810908;4.1042098999;4.39278554916;12442.7832031;0.9430717592;0.9441223641;9802.42480469
;BR;2008;p35p100;40698.6469225;55307.0678339;4.11379051208;4.40330076218;12560.3662109;0.9395740891;0.9408508506;9893.22265625
;BR;2008;p36p100;41179.2504725;55973.9345384;4.12275409698;4.40757656097;12699.4804688;0.9360436807;0.9375460325;9988.28710938
;BR;2008;p37p100;41673.5076236;56659.5141929;4.12737751007;4.4018907547;12871.6318359;0.9324773892;0.9342006964;10096.8486328
;BR;2008;p38p100;42181.7847699;57364.111362;4.12396669388;4.38411045074;13084.5498047;0.9288687349;0.9308050921;10228.4492188
;BR;2008;p39p100;42704.3137533;58087.9616414;4.10899591446;4.35403728485;13341.171875;0.9252078021;0.9273480493;10392.8828125
;BR;2008;p40p100;43241.1770581;58831.3154756;4.07931089401;4.3136382103;13638.4443359;0.9214811631;0.9238183841;10600.1181641
;BR;2008;p41p100;43792.3122484;59594.5482014;4.03405094147;4.26679515839;13967.0517578;0.9176722362;0.9202065793;10855.6669922
;BR;2008;p42p100;44357.7120369;60378.2375525;3.97925925255;4.21729278564;14316.8242188;0.9137656643;0.9165057966;11147.2285156
;BR;2008;p43p100;44937.6356564;61183.1697511;3.92158651352;4.16816234589;14678.6914062;0.9097514964;0.9127117035;11459.0449219
;BR;2008;p44p100;45532.6279887;62010.3399858;3.86621236801;4.12174654007;15044.6757812;0.9056250946;0.9088222066;11777.0634766
;BR;2008;p45p100;46143.5082239;62860.9477211;3.81677746773;4.07967376709;15408.3271484;0.9013864055;0.9048371114;12089.6513672
;BR;2008;p46p100;46771.3426258;63736.3824768;3.77539277077;4.04283666611;15765.2626953;0.8970389504;0.9007576536;12388.4707031
;BR;2008;p47p100;47417.3960725;64638.1968095;3.74263191223;4.01135158539;16113.8193359;0.8925884745;0.8965858757;12669.5322266
;BR;2008;p48p100;48083.0555538;65568.0623049;3.71743297577;3.98448395729;16455.8476562;0.8880411815;0.8923238148;12934.4785156
;BR;2008;p49p100;48769.7168819;66527.7031951;3.69687438011;3.96052980423;16797.6777344;0.8834014641;0.8879724608;13192.1484375
;BR;2008;p50p100;49478.6233735;67518.8006844;3.67584753036;3.93666005135;17151.2910156;0.8786690241;0.8835304356;13460.4667969
;BR;2008;p51p100;50210.6823366;68542.8848597;3.64883732796;3.9098944664;17530.6230469;0.8738359492;0.878992663;13760.734375
;BR;2008;p52p100;50966.6602072;69601.4701472;3.61695599556;3.88084459305;17934.6191406;0.8688906366;0.8743522686;14091.0371094
;BR;2008;p53p100;51747.5362848;70696.290961;3.58292508125;3.85098814964;18357.9609375;0.8638239478;0.8696034981;14442.8183594
;BR;2008;p54p100;52554.5563803;71829.3448849;3.54906368256;3.82159113884;18795.6640625;0.8586297073;0.8647419503;14808.0058594
;BR;2008;p55p100;53389.2475835;73002.9119311;3.51721858978;3.79367423058;19243.3261719;0.8533044653;0.8597644587;15179.3945312
;BR;2008;p56p100;54253.4252025;74219.5699393;3.48871159554;3.76798057556;19697.4394531;0.8478471068;0.8546688996;15551.1347656
;BR;2008;p57p100;55149.1877279;75482.2035735;3.46428346634;3.74493217468;20155.8261719;0.8422582623;0.8494539037;15919.3632812
;BR;2008;p58p100;56078.8941351;76794.0033814;3.44401454926;3.72458291054;20618.1484375;0.8365394672;0.844118444;16283.0019531
;BR;2008;p59p100;57045.1157368;78158.4500212;3.42720770836;3.70654535294;21086.6035156;0.8306919971;0.8386612666;16644.7792969
;BR;2008;p60p100;58050.5519227;79579.2768966;3.41222238541;3.68989992142;21566.7851562;0.8247152944;0.8330801195;17012.5351562
;BR;2008;p61p100;59097.9180728;81060.4130206;3.39697384834;3.67337799072;22066.9941406;0.8186051882;0.8273708391;17397.2246094
;BR;2008;p62p100;60190.03607;82606.0223416;3.38133168221;3.65644216537;22591.9121094;0.8123550869;0.8215274851;17800.6894531
;BR;2008;p63p100;61330.0400534;84220.6219002;3.3657143116;3.6388835907;23144.6328125;0.8059584937;0.8155431773;18221.9980469
;BR;2008;p64p100;62521.4347193;85909.1514017;3.35047006607;3.62062335014;23727.7246094;0.799409197;0.8094102889;18660.4960938
;BR;2008;p65p100;63768.1383337;87677.0525891;3.33585882187;3.60174536705;24342.9355469;0.7927011473;0.8031206209;19115.9589844
;BR;2008;p66p100;65074.5277995;89530.3729149;3.32202506065;3.58253502846;24990.7871094;0.7858282668;0.796665667;19588.8125
;BR;2008;p67p100;66445.4842106;91475.9022896;3.30896830559;3.56352925301;25670.0292969;0.778784169;0.7900370025;20080.4238281
;BR;2008;p68p100;67886.4362404;93521.3551046;3.29649686813;3.54557442665;26376.9257812;0.7715617564;0.7832268372;20593.5078125
;BR;2008;p69p100;69403.3970581;95675.6145888;3.2841796875;3.52990841866;27104.2773438;0.7641526547;0.7762287878;21132.6425781
;BR;2008;p70p100;71002.9879591;97949.0635107;3.2712726593;3.51826953888;27840.125;0.7565464261;0.7690389451;21705.0039062
;BR;2008;p71p100;72692.4676285;100353.985034;3.25714564323;3.51232647896;28571.9414062;0.7487297915;0.761656954;22317.84375
;BR;2008;p72p100;74480.0612481;102904.544607;3.24286150932;3.51136517525;29306.1367188;0.7406887708;0.7540833941;22967.3886719
;BR;2008;p73p100;76375.438306;105616.596643;3.22984266281;3.51400065422;30055.9414062;0.7324115491;0.7463159507;23646.7988281
;BR;2008;p74p100;78390.0102568;108507.891238;3.21932768822;3.5188267231;30836.3828125;0.7238886602;0.7383486109;24349.8085938
;BR;2008;p75p100;80537.2388138;111598.38266;3.21228265762;3.52443385124;31664.2011719;0.7151126305;0.7301712015;25071.6542969
;BR;2008;p76p100;82832.9725134;114910.62214;3.20927166939;3.52945995331;32557.5644531;0.7060772074;0.7217689722;25810.5214844
;BR;2008;p77p100;85295.7927842;118470.271812;3.21025967598;3.53268480301;33535.4765625;0.6967759471;0.7131222905;26569.7480469
;BR;2008;p78p100;87947.3294652;122306.797634;3.21430754662;3.53318238258;34616.609375;0.6871998271;0.7042065606;27361.2050781
;BR;2008;p79p100;90812.4671651;126454.433775;3.21911263466;3.53053832054;35817.3242188;0.6773333717;0.6949925462;28210.4042969
;BR;2008;p80p100;93919.2944809;130953.569032;3.22034645081;3.52516341209;37148.2265625;0.6671485114;0.6854473878;29164.3457031
;BR;2008;p81p100;97298.767213;135852.758897;3.21282696724;3.51838493347;38612.25;0.6565966201;0.6755365541;30284.4707031
;BR;2008;p82p100;100986.484865;141211.126369;3.19727540016;3.51130509377;40216.1367188;0.6456147811;0.6652244652;31585.1699219
;BR;2008;p83p100;105026.293034;147101.189738;3.17649888992;3.50492453575;41969.859375;0.6341392908;0.6544732453;33063.5390625
;BR;2008;p84p100;109473.270558;153612.915592;3.15359687805;3.50031757355;43885.421875;0.6221079909;0.6432421659;34713.78125
;BR;2008;p85p100;114397.658215;160859.355773;3.13181233406;3.49859142303;45978.3203125;0.6094612492;0.6314869425;36527.6210938
;BR;2008;p86p100;119890.398319;168984.556329;3.11435127258;3.50080227852;48270.2382812;0.5961425802;0.619158504;38496.1054688
;BR;2008;p87p100;126070.989238;178174.828049;3.10409092903;3.50778532028;50794.109375;0.5820981474;0.6062007808;40614.4648438
;BR;2008;p88p100;133098.628335;188675.060972;3.10301017761;3.51981043816;53603.7578125;0.5672735443;0.5925466345;42893.390625
;BR;2008;p89p100;141187.861165;200812.692992;3.11095571518;3.5358877182;56792.7226562;0.551604434;0.5781102056;45384.078125
;BR;2008;p91p100;161820.112878;231955.195264;3.12801575661;3.56279802322;65104.7851562;0.5172645473;0.5463530909;51732.5117188
;BR;2008;p92p100;175315.964016;252468.155506;3.12220597267;3.56503939629;70817.7734375;0.4981374064;0.5285954067;56151.3125
;BR;2008;p93p100;191951.594693;277920.681797;3.1046192646;3.55909585953;78087.4375;0.4772297053;0.5091499404;61827.7382812
;BR;2008;p94p100;213046.975049;310473.356334;3.07489323616;3.54579114914;87561.09375;0.4540088585;0.4875311593;69285.9765625
;BR;2008;p95p100;240842.916581;353847.93609;3.03370499611;3.52754640579;100309.929688;0.4277023006;0.4630346184;79389.0390625
;BR;2008;p96p100;279530.744648;415125.86793;2.98384618759;3.50999498367;118269.648438;0.3971250449;0.4345768411;93681.3515625
;BR;2008;p97p100;338151.004456;509895.288409;2.9328186512;3.50576496124;145444.796875;0.3603044622;0.400340055;115298.984375
;BR;2008;p98p100;441303.665077;681635.583838;2.8998696804;3.54323959351;192376.375;0.3134766768;0.3567870153;152180.515625
;BR;2008;p0p90;14547.1750707;18562.5873739;;;0.0;0.4650063452;0.4372278437;0.0
;BR;2008;p0p99;21415.7275407;27237.3157549;;;0.0;0.7530186486;0.7057100315;0.0
;BR;2008;p99.1p100;745305.698313;1213837.26641;2.92516732216;3.64934229851;332618.09375;0.2382399862;0.2859102775;254790.796875
;BR;2008;p99.1p99.2;264621.916683;346756.000816;;;332618.09375;0.0093986075;0.0090750866;254790.796875
;BR;2008;p99.2p100;805391.170231;1322222.4244;2.92750549316;3.65368294716;361887.5625;0.2288413785;0.2768351908;275111.75
;BR;2008;p99.2p99.3;287118.696351;379374.579805;;;361887.5625;0.0101976283;0.0099287601;275111.75
;BR;2008;p99.3p100;879430.096772;1456914.97572;2.9314250946;3.65818834305;398261.34375;0.2186437506;0.2669064311;300000.875
;BR;2008;p99.3p99.4;314933.387253;420548.02501;;;398261.34375;0.0111855259;0.0110063264;300000.875
;BR;2008;p99.4p100;973512.883552;1629642.80336;2.94050312042;3.66288757324;444906.59375;0.2074582251;0.2559001051;331070.1875
;BR;2008;p99.4p99.5;350094.350159;474463.755961;;;444906.59375;0.0124343419;0.012417376;331070.1875
;BR;2008;p99.5p100;1098196.5918;1860678.61243;2.96123766899;3.66782212257;507297.9375;0.1950238834;0.243482729;370857.28125
;BR;2008;p99.5p99.6;395934.663714;548738.533346;;;507297.9375;0.0140624577;0.0143612502;370857.28125
;BR;2008;p99.6p100;1273762.07432;2188663.63422;3.00620508194;3.67305278778;595870.4375;0.1809614258;0.229121479;423710.96875
;BR;2008;p99.6p99.7;458582.964627;659018.812935;;;595870.4375;0.0162875447;0.0172474384;423710.96875
;BR;2008;p99.7p100;1545488.44379;2698545.23748;3.10212755203;3.67867612839;733564.25;0.164673881;0.2118740403;498202.75
;BR;2008;p99.7p99.8;551924.113159;844182.595846;;;733564.25;0.0196027532;0.022093432;498202.75
;BR;2008;p99.8p100;2042270.61022;3625726.57288;3.31197500229;3.68486857414;983950.0625;0.1450711278;0.189780609;616632.25
