Variable Name;.;.;.;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | tax unit | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Threshold | Adults | constant 2015 local currency
;SE;1972;p99.95p100;2076480.7176;;;0.0076;0.0076;
;SE;1971;p0p100;134084.328316;;8.47415340816e+11;;;
;SE;1971;p99p100;795120.855068;1.4732414484;;0.0593;0.0593;539708.4375
;SE;1971;p99.9p100;1662667.13975;1.470356822;;0.0124;0.0124;1130791.625
;SE;1971;p99.99p100;3485614.26667;1.4712054729;;0.0026;0.0026;2369223.25
;SE;1971;p90p100;381872.090343;1.4405729771;;0.2848;0.2848;265083.46875
;SE;1971;p90p95;288549.416579;;;0.1076;0.1076;265083.46875
;SE;1971;p95p99;395213.360548;;;0.1179;0.1179;324035.9375
;SE;1971;p99.5p99.9;824616.978985;;;0.0246;0.0246;674306.0625
;SE;1971;p99.95p99.99;1743066.82744;;;0.0052;0.0052;
;SE;1971;p99.9p99.95;1233665.28198;;;0.0046;0.0046;1130791.625
;SE;1971;p99.9p99.99;1460077.21466;;;0.0098;0.0098;1130791.625
;SE;1971;p99p99.5;598016.697066;;;0.0223;0.0223;539708.4375
;SE;1971;p95p100;475194.764107;1.4664878845;;0.1772;0.1772;324035.9375
;SE;1971;p99.5p100;992225.013069;1.4714757204;;0.037;0.037;674306.0625
;SE;1971;p99.95p100;2091617.85891;;;0.0078;0.0078;
;SE;1970;p0p100;134945.387302;;8.35982225768e+11;;;
;SE;1970;p99p100;852855.638566;1.4968253374;;0.0632;0.0632;569776.3125
;SE;1970;p99.9p100;1821786.13523;1.4915339947;;0.0135;0.0135;1221417.75
;SE;1970;p99.99p100;3912766.84647;1.4971848726;;0.0029;0.0029;2613416.0
;SE;1970;p90p100;397683.951059;1.482011199;;0.2947;0.2947;268340.71875
;SE;1970;p90p95;296339.992034;;;0.1098;0.1098;268340.71875
;SE;1970;p95p99;410571.109773;;;0.1217;0.1217;333488.59375
;SE;1970;p99.5p99.9;883890.472224;;;0.0262;0.0262;717733.9375
;SE;1970;p99.95p99.99;1889203.39242;;;0.0056;0.0056;
;SE;1970;p99.9p99.95;1349551.65186;;;0.005;0.005;1221417.75
;SE;1970;p99.9p99.99;1589408.78352;;;0.0106;0.0106;1221417.75
;SE;1970;p99p99.5;634243.908428;;;0.0235;0.0235;569776.3125
;SE;1970;p95p100;499027.910083;1.4963867664;;0.1849;0.1849;333488.59375
;SE;1970;p99.5p100;1071467.36871;1.4928475618;;0.0397;0.0397;717733.9375
;SE;1970;p99.95p100;2293964.32649;;;0.0085;0.0085;
;SE;1969;p0p100;134865.256868;;8.14057232297e+11;;;
;SE;1969;p99p100;886065.561997;1.5053111315;;0.0657;0.0657;588626.1875
;SE;1969;p99.9p100;1928597.95821;1.5101941824;;0.0143;0.0143;1277053.0
;SE;1969;p99.99p100;4180129.21765;1.5007027388;;0.0031;0.0031;2785447.75
;SE;1969;p90p100;406753.508259;1.5010193586;;0.3016;0.3016;270984.84375
;SE;1969;p90p95;299670.522332;;;0.1111;0.1111;270984.84375
;SE;1969;p95p99;420779.365901;;;0.1248;0.1248;338805.4375
;SE;1969;p99.5p99.9;917081.866816;;;0.0272;0.0272;740418.875
;SE;1969;p99.95p99.99;2022944.56205;;;0.006;0.006;
;SE;1969;p99.9p99.95;1402700.30541;;;0.0052;0.0052;1277053.0
;SE;1969;p99.9p99.99;1678378.11231;;;0.0112;0.0112;1277053.0
;SE;1969;p99p99.5;652748.450542;;;0.0242;0.0242;588626.1875
;SE;1969;p95p100;513836.494187;1.5166122913;;0.1905;0.1905;338805.4375
;SE;1969;p99.5p100;1119382.67345;1.511823535;;0.0415;0.0415;740418.875
;SE;1969;p99.95p100;2454432.92206;;;0.0091;0.0091;
;SE;1968;p0p100;132795.127398;;7.8037868416e+11;;;
;SE;1968;p99p100;888400.254033;1.5065462589;;0.0669;0.0669;589693.3125
;SE;1968;p99.9p100;1938833.83154;1.5156936646;;0.0146;0.0146;1279172.625
;SE;1968;p99.99p100;4248739.06532;1.5214455128;;0.0032;0.0032;2792567.25
;SE;1968;p90p100;404892.248952;1.5159984827;;0.3049;0.3049;267079.59375
;SE;1968;p90p95;296664.245378;;;0.1117;0.1117;267079.59375
;SE;1968;p95p99;419300.391951;;;0.1263;0.1263;337052.375
;SE;1968;p99.5p99.9;916284.52678;;;0.0276;0.0276;741184.375
;SE;1968;p99.95p99.99;1991893.20284;;;0.006;0.006;
;SE;1968;p99.9p99.95;1434291.33951;;;0.0054;0.0054;1279172.625
;SE;1968;p99.9p99.99;1682126.69979;;;0.0114;0.0114;1279172.625
;SE;1968;p99p99.5;656008.558285;;;0.0247;0.0247;589693.3125
;SE;1968;p95p100;513120.252525;1.5223754644;;0.1932;0.1932;337052.375
;SE;1968;p99.5p100;1120791.94978;1.5121635199;;0.0422;0.0422;741184.375
;SE;1968;p99.95p100;2443316.18022;;;0.0092;0.0092;
;SE;1967;p0p100;130492.768509;;7.50388503961e+11;;;
;SE;1967;p99p100;863862.945792;1.4901684523;;0.0662;0.0662;579708.25
;SE;1967;p99.9p100;1853021.15777;1.4979512691;;0.0142;0.0142;1237037.0
;SE;1967;p99.99p100;3914133.52128;1.4731404781;;0.003;0.003;2656999.5
;SE;1967;p90p100;396697.919124;1.5062571764;;0.304;0.304;263366.65625
;SE;1967;p90p95;290998.802516;;;0.1115;0.1115;263366.65625
;SE;1967;p95p99;412030.692875;;;0.1263;0.1263;330285.96875
;SE;1967;p99.5p99.9;893873.647025;;;0.0274;0.0274;728138.4375
;SE;1967;p99.95p99.99;1924735.74169;;;0.0059;0.0059;
;SE;1967;p99.9p99.95;1383323.59951;;;0.0053;0.0053;1237037.0
;SE;1967;p99.9p99.99;1623963.17075;;;0.0112;0.0112;1237037.0
;SE;1967;p99p99.5;642025.029199;;;0.0246;0.0246;579708.25
;SE;1967;p95p100;502397.035733;1.521097064;;0.1925;0.1925;330285.96875
;SE;1967;p99.5p100;1085700.86239;1.4910638332;;0.0416;0.0416;728138.4375
;SE;1967;p99.95p100;2322662.72633;;;0.0089;0.0089;
;SE;1966;p0p100;126164.882352;;6.97687745145e+11;;;
;SE;1966;p99p100;808717.677591;1.5237387419;;0.0641;0.0641;530745.625
;SE;1966;p99.9p100;1778947.76742;1.5195652246;;0.0141;0.0141;1170695.25
;SE;1966;p99.99p100;3910462.50397;1.5274119377;;0.0031;0.0031;2560188.5
;SE;1966;p90p100;373952.626971;1.4780031443;;0.2964;0.2964;253012.0625
;SE;1966;p90p95;279076.656836;;;0.1106;0.1106;253012.0625
;SE;1966;p95p99;383856.453605;;;0.1217;0.1217;315525.0625
;SE;1966;p99.5p99.9;838994.778222;;;0.0266;0.0266;677507.6875
;SE;1966;p99.95p99.99;1829359.85088;;;0.0058;0.0058;
;SE;1966;p99.9p99.95;1312209.90142;;;0.0052;0.0052;1170695.25
;SE;1966;p99.9p99.99;1542065.74027;;;0.011;0.011;1170695.25
;SE;1966;p99p99.5;590452.220144;;;0.0234;0.0234;530745.625
;SE;1966;p95p100;468828.597107;1.4858679771;;0.1858;0.1858;315525.0625
;SE;1966;p99.5p100;1026983.13504;1.5158250332;;0.0407;0.0407;677507.6875
;SE;1966;p99.95p100;2245629.99653;;;0.0089;0.0089;
;SE;1965;p0p100;123404.585274;;6.71420773363e+11;;;
;SE;1965;p99p100;807066.76388;1.5395007133;;0.0654;0.0654;524239.28125
;SE;1965;p99.9p100;1789389.53859;1.5238580704;;0.0145;0.0145;1174249.5
;SE;1965;p99.99p100;3948291.58375;1.5200898647;;0.0032;0.0032;2597406.75
;SE;1965;p90p100;367128.556621;1.4971969128;;0.2975;0.2975;245210.59375
;SE;1965;p90p95;271490.025064;;;0.11;0.11;245210.59375
;SE;1965;p95p99;376692.297514;;;0.1221;0.1221;307001.8125
;SE;1965;p99.5p99.9;836064.377642;;;0.0271;0.0271;668163.1875
;SE;1965;p99.95p99.99;1851037.4602;;;0.006;0.006;
;SE;1965;p99.9p99.95;1308183.43061;;;0.0053;0.0053;1174249.5
;SE;1965;p99.9p99.99;1549463.87253;;;0.0113;0.0113;1174249.5
;SE;1965;p99p99.5;587406.390836;;;0.0238;0.0238;524239.28125
;SE;1965;p95p100;462767.088178;1.5073757172;;0.1875;0.1875;307001.8125
;SE;1965;p99.5p100;1026727.13692;1.5366412401;;0.0416;0.0416;668163.1875
;SE;1965;p99.95p100;2270538.28501;;;0.0092;0.0092;
;SE;1964;p0p100;121039.078798;;6.46530861166e+11;;;
;SE;1964;p99p100;795227.495144;1.5376849174;;0.0657;0.0657;517158.9375
;SE;1964;p99.9p100;1767193.27804;1.521335125;;0.0146;0.0146;1161606.875
;SE;1964;p99.99p100;3872607.85026;1.5125178099;;0.0032;0.0032;2560371.75
;SE;1964;p90p100;361664.676242;1.4966999292;;0.2988;0.2988;241641.40625
;SE;1964;p90p95;267254.218589;;;0.1104;0.1104;241641.40625
;SE;1964;p95p99;371287.169928;;;0.1227;0.1227;303291.71875
;SE;1964;p99.5p99.9;826090.027305;;;0.0273;0.0273;659371.125
;SE;1964;p99.95p99.99;1845814.68083;;;0.0061;0.0061;
;SE;1964;p99.9p99.95;1283107.21624;;;0.0053;0.0053;1161606.875
;SE;1964;p99.9p99.99;1533211.84535;;;0.0114;0.0114;1161606.875
;SE;1964;p99p99.5;576146.556603;;;0.0238;0.0238;517158.9375
;SE;1964;p95p100;456075.133896;1.5037506819;;0.1884;0.1884;303291.71875
;SE;1964;p99.5p100;1014308.43368;1.5382966995;;0.0419;0.0419;659371.125
;SE;1964;p99.95p100;2251221.63497;;;0.0093;0.0093;
;SE;1963;p0p100;115859.485584;;6.07474548858e+11;;;
;SE;1963;p99p100;777417.912784;1.5568647385;;0.0671;0.0671;499348.40625
;SE;1963;p99.9p100;1772673.0046;1.5584876537;;0.0153;0.0153;1137431.5
;SE;1963;p99.99p100;4054409.33002;1.565535903;;0.0035;0.0035;2589790.0
;SE;1963;p90p100;347925.9626;1.5148633718;;0.3003;0.3003;229674.8125
;SE;1963;p90p95;254890.815092;;;0.11;0.11;229674.8125
;SE;1963;p95p99;356847.03478;;;0.1232;0.1232;288744.53125
;SE;1963;p99.5p99.9;802325.335563;;;0.0277;0.0277;639964.4375
;SE;1963;p99.95p99.99;1824756.06324;;;0.0063;0.0063;
;SE;1963;p99.9p99.95;1274546.7575;;;0.0055;0.0055;1137431.5
;SE;1963;p99.9p99.99;1519096.37343;;;0.0118;0.0118;1137431.5
;SE;1963;p99p99.5;558443.26969;;;0.0241;0.0241;499348.40625
;SE;1963;p95p100;440961.110109;1.5271669626;;0.1903;0.1903;288744.53125
;SE;1963;p99.5p100;996392.555879;1.5569498539;;0.043;0.043;639964.4375
;SE;1963;p99.95p100;2270739.87319;;;0.0098;0.0098;
;SE;1962;p0p100;112281.272023;;5.78501070586e+11;;;
;SE;1962;p99p100;754530.863105;1.5551576614;;0.0672;0.0672;485179.65625
;SE;1962;p99.9p100;1717925.56939;1.5588936806;;0.0153;0.0153;1102015.875
;SE;1962;p99.99p100;3929192.48997;1.5649858713;;0.0035;0.0035;2510688.75
;SE;1962;p90p100;338640.233679;1.5196597576;;0.3016;0.3016;222839.5
;SE;1962;p90p95;247916.988051;;;0.1104;0.1104;222839.5
;SE;1962;p95p99;348071.754491;;;0.124;0.124;280580.15625
;SE;1962;p99.5p99.9;777546.228414;;;0.0277;0.0277;619773.0
;SE;1962;p99.95p99.99;1768400.08891;;;0.0063;0.0063;
;SE;1962;p99.9p99.95;1235183.51011;;;0.0055;0.0055;1102015.875
;SE;1962;p99.9p99.99;1472180.42781;;;0.0118;0.0118;1102015.875
;SE;1962;p99p99.5;543441.871641;;;0.0242;0.0242;485179.65625
;SE;1962;p95p100;429363.479306;1.5302703381;;0.1912;0.1912;280580.15625
;SE;1962;p99.5p100;965619.854568;1.5580217838;;0.043;0.043;619773.0
;SE;1962;p99.95p100;2200610.08402;;;0.0098;0.0098;
;SE;1961;p0p100;108558.332136;;5.49287661182e+11;;;
;SE;1961;p99p100;743625.282272;1.5708802938;;0.0685;0.0685;473381.25
;SE;1961;p99.9p100;1704387.75319;1.566868186;;0.0157;0.0157;1087767.125
;SE;1961;p99.99p100;3907451.5463;1.5640220642;;0.0036;0.0036;2498335.25
;SE;1961;p90p100;330560.041637;1.5280748606;;0.3045;0.3045;216324.5
;SE;1961;p90p95;240565.206;;;0.1108;0.1108;216324.5
;SE;1961;p95p99;339787.396379;;;0.1252;0.1252;273490.34375
;SE;1961;p99.5p99.9;768048.641264;;;0.0283;0.0283;608313.625
;SE;1961;p99.95p99.99;1764043.03116;;;0.0065;0.0065;
;SE;1961;p99.9p99.95;1215941.44712;;;0.0056;0.0056;1087767.125
;SE;1961;p99.9p99.99;1459554.25131;;;0.0121;0.0121;1087767.125
;SE;1961;p99p99.5;531936.333304;;;0.0245;0.0245;473381.25
;SE;1961;p95p100;420554.877275;1.5377321243;;0.1937;0.1937;273490.34375
;SE;1961;p99.5p100;955314.23124;1.570430398;;0.044;0.044;608313.625
;SE;1961;p99.95p100;2192775.83464;;;0.0101;0.0101;
;SE;1960;p0p100;104188.561823;;5.16679416024e+11;;;
;SE;1960;p99p100;719943.646569;1.5891709328;;0.0691;0.0691;453030.96875
;SE;1960;p99.9p100;1698295.41736;1.6059850454;;0.0163;0.0163;1057479.0
;SE;1960;p99.99p100;3958508.46482;1.5836714506;;0.0038;0.0038;2499576.75
;SE;1960;p90p100;317254.094134;1.5412698984;;0.3045;0.3045;205839.421875
;SE;1960;p90p95;229423.157728;;;0.1101;0.1101;205839.421875
;SE;1960;p95p99;326370.493826;;;0.1253;0.1253;260586.4375
;SE;1960;p99.5p99.9;737132.578783;;;0.0283;0.0283;584722.375
;SE;1960;p99.95p99.99;1745128.8641;;;0.0067;0.0067;
;SE;1960;p99.9p99.95;1208674.91727;;;0.0058;0.0058;1057479.0
;SE;1960;p99.9p99.99;1447110.73668;;;0.0125;0.0125;1057479.0
;SE;1960;p99p99.5;510524.438233;;;0.0245;0.0245;453030.96875
;SE;1960;p95p100;405085.030539;1.5545130968;;0.1944;0.1944;260586.4375
;SE;1960;p99.5p100;929362.854906;1.5894087553;;0.0446;0.0446;584722.375
;SE;1960;p99.95p100;2187857.55286;;;0.0105;0.0105;
;SE;1959;p0p100;100066.953255;;4.87580820044e+11;;;
;SE;1959;p99p100;708474.668744;1.6352350712;;0.0708;0.0708;433255.5625
;SE;1959;p99.9p100;1711166.84441;1.6277610064;;0.0171;0.0171;1051239.625
;SE;1959;p99.99p100;4102064.18145;1.6142805815;;0.0041;0.0041;2541109.75
;SE;1959;p90p100;301801.843745;1.5546219349;;0.3016;0.3016;194131.984375
;SE;1959;p90p95;217745.627317;;;0.1088;0.1088;194131.984375
;SE;1959;p95p99;305204.028214;;;0.122;0.122;240315.109375
;SE;1959;p99.5p99.9;727985.572679;;;0.0291;0.0291;565706.5
;SE;1959;p99.95p99.99;1776158.26382;;;0.0071;0.0071;
;SE;1959;p99.9p99.95;1180875.57746;;;0.0059;0.0059;1051239.625
;SE;1959;p99.9p99.99;1445458.80206;;;0.013;0.013;1051239.625
;SE;1959;p99p99.5;492329.854551;;;0.0246;0.0246;433255.5625
;SE;1959;p95p100;385858.060173;1.6056337357;;0.1928;0.1928;240315.109375
;SE;1959;p99.5p100;924619.482937;1.6344509125;;0.0462;0.0462;565706.5
;SE;1959;p99.95p100;2241394.89868;;;0.0112;0.0112;
;SE;1958;p0p100;98093.054712;;4.69774794898e+11;;;
;SE;1958;p99p100;675861.771863;1.628475666;;0.0689;0.0689;415027.25
;SE;1958;p99.9p100;1638175.05691;1.6321922541;;0.0167;0.0167;1003665.5
;SE;1958;p99.99p100;3923071.08258;1.6128059626;;0.004;0.004;2432450.75
;SE;1958;p90p100;290551.550334;1.5471217632;;0.2962;0.2962;187801.34375
;SE;1958;p90p95;211292.383329;;;0.1077;0.1077;187801.34375
;SE;1958;p95p99;293298.067722;;;0.1196;0.1196;231103.953125
;SE;1958;p99.5p99.9;694006.93546;;;0.0283;0.0283;541453.3125
;SE;1958;p99.95p99.99;1692076.50158;;;0.0069;0.0069;
;SE;1958;p99.9p99.95;1137961.88019;;;0.0058;0.0058;1003665.5
;SE;1958;p99.9p99.99;1384247.27817;;;0.0127;0.0127;1003665.5
;SE;1958;p99p99.5;468885.235051;;;0.0239;0.0239;415027.25
;SE;1958;p95p100;369810.71734;1.60019207;;0.1885;0.1885;231103.953125
;SE;1958;p99.5p100;882838.308674;1.6304975748;;0.045;0.045;541453.3125
;SE;1958;p99.95p100;2138328.60635;;;0.0109;0.0109;
;SE;1957;p0p100;97860.8106084;;4.61139495509e+11;;;
;SE;1957;p99p100;674261.637712;1.6461901665;;0.0689;0.0689;409589.15625
;SE;1957;p99.9p100;1644082.80853;1.6352311373;;0.0168;0.0168;1005413.125
;SE;1957;p99.99p100;4011627.60523;1.6376018524;;0.0041;0.0041;2449696.5
;SE;1957;p90p100;286927.832378;1.5147968531;;0.2932;0.2932;189416.703125
;SE;1957;p90p95;208052.03671;;;0.1063;0.1063;189416.703125
;SE;1957;p95p99;288689.240538;;;0.118;0.118;235013.1875
;SE;1957;p99.5p99.9;694810.357133;;;0.0284;0.0284;536531.6875
;SE;1957;p99.95p99.99;1688070.43183;;;0.0069;0.0069;
;SE;1957;p99.9p99.95;1135267.70256;;;0.0058;0.0058;1005413.125
;SE;1957;p99.9p99.99;1380970.00842;;;0.0127;0.0127;1005413.125
;SE;1957;p99p99.5;463860.691256;;;0.0237;0.0237;409589.15625
;SE;1957;p95p100;365803.628045;1.5565237999;;0.1869;0.1869;235013.1875
;SE;1957;p99.5p100;884662.584168;1.6488542557;;0.0452;0.0452;536531.6875
;SE;1957;p99.95p100;2152837.26184;;;0.011;0.011;
;SE;1956;p0p100;98806.262646;;4.58912016999e+11;;;
;SE;1956;p99p100;664966.801399;1.6600167751;;0.0673;0.0673;400578.375
;SE;1956;p99.9p100;1640205.12533;1.6480716467;;0.0166;0.0166;995226.8125
;SE;1956;p99.99p100;4050384.76993;1.6624933481;;0.0041;0.0041;2436331.5
;SE;1956;p90p100;285945.264364;1.5390105247;;0.2894;0.2894;185798.125
;SE;1956;p90p95;210062.070504;;;0.1063;0.1063;185798.125
;SE;1956;p95p99;286043.985358;;;0.1158;0.1158;229532.625
;SE;1956;p99.5p99.9;681761.850753;;;0.0276;0.0276;526354.5
;SE;1956;p99.95p99.99;1679678.08145;;;0.0068;0.0068;
;SE;1956;p99.9p99.95;1126473.07334;;;0.0057;0.0057;995226.8125
;SE;1956;p99.9p99.99;1372354.17867;;;0.0125;0.0125;995226.8125
;SE;1956;p99p99.5;456485.382238;;;0.0231;0.0231;400578.375
;SE;1956;p95p100;361828.458224;1.5763704777;;0.1831;0.1831;229532.625
;SE;1956;p99.5p100;873448.22056;1.6594295502;;0.0442;0.0442;526354.5
;SE;1956;p99.95p100;2153875.93856;;;0.0109;0.0109;
;SE;1955;p0p100;96127.8491916;;4.40492293149e+11;;;
;SE;1955;p99p100;659437.684792;1.65000844;;0.0686;0.0686;399657.15625
;SE;1955;p99.9p100;1634194.50176;1.6467624903;;0.017;0.017;992368.0625
;SE;1955;p99.99p100;4036699.88274;1.6562808752;;0.0042;0.0042;2437207.25
;SE;1955;p90p100;278193.933642;1.5268048048;;0.2894;0.2894;182206.609375
;SE;1955;p90p95;200714.904438;;;0.1044;0.1044;182206.609375
;SE;1955;p95p99;279731.89552;;;0.1164;0.1164;222608.625
;SE;1955;p99.5p99.9;677699.97414;;;0.0282;0.0282;519806.3125
;SE;1955;p99.95p99.99;1682208.91155;;;0.007;0.007;
;SE;1955;p99.9p99.95;1115163.89453;;;0.0058;0.0058;992368.0625
;SE;1955;p99.9p99.99;1367196.42047;;;0.0128;0.0128;992368.0625
;SE;1955;p99p99.5;449878.770383;;;0.0234;0.0234;399657.15625
;SE;1955;p95p100;355672.962845;1.5977501869;;0.185;0.185;222608.625
;SE;1955;p99.5p100;868996.599201;1.6717699766;;0.0452;0.0452;519806.3125
;SE;1955;p99.95p100;2153163.2386;;;0.0112;0.0112;
;SE;1954;p0p100;93988.0831262;;4.24273112198e+11;;;
;SE;1954;p99p100;656977.31688;1.6475635767;;0.0699;0.0699;398756.875
;SE;1954;p99.9p100;1654211.53336;1.6778578758;;0.0176;0.0176;985906.8125
;SE;1954;p99.99p100;4134789.46591;1.6702265739;;0.0044;0.0044;2475586.0
;SE;1954;p90p100;275760.965648;1.5623499155;;0.2934;0.2934;176503.96875
;SE;1954;p90p95;197562.900407;;;0.1051;0.1051;176503.96875
;SE;1954;p95p99;278204.572276;;;0.1184;0.1184;219589.984375
;SE;1954;p99.5p99.9;669663.72424;;;0.0285;0.0285;515585.53125
;SE;1954;p99.95p99.99;1691756.8311;;;0.0072;0.0072;
;SE;1954;p99.9p99.95;1127938.73127;;;0.006;0.006;985906.8125
;SE;1954;p99.9p99.99;1378537.00056;;;0.0132;0.0132;985906.8125
;SE;1954;p99p99.5;447383.695043;;;0.0238;0.0238;398756.875
;SE;1954;p95p100;353959.03089;1.6119087934;;0.1883;0.1883;219589.984375
;SE;1954;p99.5p100;866570.938717;1.6807510853;;0.0461;0.0461;515585.53125
;SE;1954;p99.95p100;2180421.60177;;;0.0116;0.0116;
;SE;1953;p0p100;89923.6208142;;4.0096050224e+11;;;
;SE;1953;p99p100;628566.717024;1.6188030243;;0.0699;0.0699;388291.03125
;SE;1953;p99.9p100;1582676.12301;1.6970132589;;0.0176;0.0176;932624.5
;SE;1953;p99.99p100;4045891.61614;1.6932022572;;0.0045;0.0045;2389491.0
;SE;1953;p90p100;267432.78798;1.5427877903;;0.2974;0.2974;173343.859375
;SE;1953;p90p95;190817.880328;;;0.1061;0.1061;173343.859375
;SE;1953;p95p99;272918.046277;;;0.1214;0.1214;218329.671875
;SE;1953;p99.5p99.9;633960.250137;;;0.0282;0.0282;490878.03125
;SE;1953;p99.95p99.99;1618597.79631;;;0.0072;0.0072;
;SE;1953;p99.9p99.95;1061175.65247;;;0.0059;0.0059;932624.5
;SE;1953;p99.9p99.99;1308931.13345;;;0.0131;0.0131;932624.5
;SE;1953;p99p99.5;433432.271253;;;0.0241;0.0241;388291.03125
;SE;1953;p95p100;344047.695633;1.5758173466;;0.1913;0.1913;218329.671875
;SE;1953;p99.5p100;823701.162796;1.6780159473;;0.0458;0.0458;490878.03125
;SE;1953;p99.95p100;2104114.42876;;;0.0117;0.0117;
;SE;1952;p0p100;88439.1296833;;3.90353424995e+11;;;
;SE;1952;p99p100;609346.176838;1.6401147842;;0.0689;0.0689;371526.53125
;SE;1952;p99.9p100;1538860.64902;1.6743193865;;0.0174;0.0174;919096.25
;SE;1952;p99.99p100;3890676.04009;1.6784629822;;0.0044;0.0044;2317999.25
;SE;1952;p90p100;258419.072016;1.5280159712;;0.2922;0.2922;169120.65625
;SE;1952;p90p95;185545.247464;;;0.1049;0.1049;169120.65625
;SE;1952;p95p99;261779.680083;;;0.1184;0.1184;211230.703125
;SE;1952;p99.5p99.9;616861.671541;;;0.0279;0.0279;474031.90625
;SE;1952;p99.95p99.99;1569767.9592;;;0.0071;0.0071;
;SE;1952;p99.9p99.95;1043657.36041;;;0.0059;0.0059;919096.25
;SE;1952;p99.9p99.99;1277495.90789;;;0.013;0.013;919096.25
;SE;1952;p99p99.5;417433.084859;;;0.0236;0.0236;371526.53125
;SE;1952;p95p100;331292.896568;1.5683937073;;0.1873;0.1873;211230.703125
;SE;1952;p99.5p100;801259.268818;1.6903066635;;0.0453;0.0453;474031.90625
;SE;1952;p99.95p100;2034004.90755;;;0.0115;0.0115;
;SE;1951;p0p100;82613.4374477;;3.60453083035e+11;;;
;SE;1951;p99p100;613818.435728;1.7030594349;;0.0743;0.0743;360421.03125
;SE;1951;p99.9p100;1610982.79753;1.7138214111;;0.0195;0.0195;939994.5625
;SE;1951;p99.99p100;4212586.34546;1.7225162983;;0.0051;0.0051;2445600.25
;SE;1951;p90p100;247757.643916;1.6141388416;;0.2999;0.2999;153492.15625
;SE;1951;p90p95;172496.819105;;;0.1044;0.1044;153492.15625
;SE;1951;p95p99;250318.585308;;;0.1212;0.1212;196754.8125
;SE;1951;p99.5p99.9;617534.203623;;;0.0299;0.0299;471376.15625
;SE;1951;p99.95p99.99;1631587.7974;;;0.0079;0.0079;
;SE;1951;p99.9p99.95;1074052.55103;;;0.0065;0.0065;939994.5625
;SE;1951;p99.9p99.99;1321858.3023;;;0.0144;0.0144;939994.5625
;SE;1951;p99p99.5;411415.317622;;;0.0249;0.0249;360421.03125
;SE;1951;p95p100;323018.468727;1.6417310238;;0.1955;0.1955;196754.8125
;SE;1951;p99.5p100;816221.553835;1.7315715551;;0.0494;0.0494;471376.15625
;SE;1951;p99.95p100;2147849.03994;;;0.013;0.013;
;SE;1950;p0p100;95515.1462732;;3.60763857167e+11;;;
;SE;1950;p99p100;732601.870514;1.6978924274;;0.0767;0.0767;431477.1875
;SE;1950;p99.9p100;1853017.6944;1.6262480021;;0.0194;0.0194;1139443.5
;SE;1950;p99.99p100;4488467.06122;1.6084852219;;0.0047;0.0047;2790493.25
;SE;1950;p90p100;290079.430046;1.6253039837;;0.3037;0.3037;178477.03125
;SE;1950;p90p95;199817.638345;;;0.1046;0.1046;178477.03125
;SE;1950;p95p99;292276.190781;;;0.1224;0.1224;227687.8125
;SE;1950;p99.5p99.9;754568.126315;;;0.0316;0.0316;576739.875
;SE;1950;p99.95p99.99;1934148.97113;;;0.0081;0.0081;
;SE;1950;p99.9p99.95;1260891.31915;;;0.0066;0.0066;1139443.5
;SE;1950;p99.9p99.99;1560131.80544;;;0.0147;0.0147;1139443.5
;SE;1950;p99p99.5;490948.320005;;;0.0257;0.0257;431477.1875
;SE;1950;p95p100;380341.221746;1.670450449;;0.1991;0.1991;227687.8125
;SE;1950;p99.5p100;974255.421022;1.68924582;;0.051;0.051;576739.875
;SE;1950;p99.95p100;2445073.48599;;;0.0128;0.0128;
;SE;1949;p0p100;92770.6492401;;3.49688843771e+11;;;
;SE;1949;p99p100;715262.379466;1.6932438612;;0.0771;0.0771;422421.375
;SE;1949;p99.9p100;1818328.11425;1.6366381645;;0.0196;0.0196;1111014.125
;SE;1949;p99.99p100;4452252.30806;1.6235338449;;0.0048;0.0048;2742321.75
;SE;1949;p90p100;282393.785681;1.6321299076;;0.3044;0.3044;173021.640625
;SE;1949;p90p95;194076.149686;;;0.1046;0.1046;173021.640625
;SE;1949;p95p99;284573.810583;;;0.1227;0.1227;224549.203125
;SE;1949;p99.5p99.9;732886.635252;;;0.0316;0.0316;561078.875
;SE;1949;p99.95p99.99;1878573.82533;;;0.0081;0.0081;
;SE;1949;p99.9p99.95;1243216.79281;;;0.0067;0.0067;1111014.125
;SE;1949;p99.9p99.99;1525611.72262;;;0.0148;0.0148;1111014.125
;SE;1949;p99p99.5;480552.415776;;;0.0259;0.0259;422421.375
;SE;1949;p95p100;370711.421676;1.6509139538;;0.1998;0.1998;224549.203125
;SE;1949;p99.5p100;949972.343155;1.6931172609;;0.0512;0.0512;561078.875
;SE;1949;p99.95p100;2393370.88029;;;0.0129;0.0129;
;SE;1948;p0p100;90067.4423333;;3.39639825613e+11;;;
;SE;1948;p99p100;716937.535325;1.731446147;;0.0796;0.0796;414068.625
;SE;1948;p99.9p100;1855413.22728;1.6016131639;;0.0206;0.0206;1158465.25
;SE;1948;p99.99p100;4502625.02083;1.651925087;;0.005;0.005;2725683.5
;SE;1948;p90p100;277767.930048;1.6529808044;;0.3084;0.3084;168040.625
